nohup: ignoring input
[Resume] Loaded weights from soul_ichigo.pth!
=== Kamen Fight RL Trainer ===
Device: cpu | Games: 7800 | Roster Pool: ['nigo', 'v3', 'riderman', 'x', 'amazon']
------------------------------------------------------------
Battles: 1/7800 | Vs: v3       | Win Rate (Last 50):   0.0% | Speed: 2,023 steps/s (36 fights/min) | Elapsed: 1.7s
Battles: 4/7800 | Vs: amazon   | Win Rate (Last 50):   0.0% | Speed: 4,682 steps/s (84 fights/min) | Elapsed: 2.8s
Battles: 7/7800 | Vs: riderman | Win Rate (Last 50):   0.0% | Speed: 5,876 steps/s (107 fights/min) | Elapsed: 3.9s
Battles: 10/7800 | Vs: nigo     | Win Rate (Last 50):  10.0% | Speed: 6,562 steps/s (120 fights/min) | Elapsed: 5.0s
Battles: 13/7800 | Vs: x        | Win Rate (Last 50):   7.7% | Speed: 6,903 steps/s (125 fights/min) | Elapsed: 6.2s
Battles: 16/7800 | Vs: v3       | Win Rate (Last 50):  12.5% | Speed: 7,174 steps/s (130 fights/min) | Elapsed: 7.3s
Battles: 19/7800 | Vs: amazon   | Win Rate (Last 50):  15.8% | Speed: 7,172 steps/s (132 fights/min) | Elapsed: 8.6s
Battles: 22/7800 | Vs: riderman | Win Rate (Last 50):  18.2% | Speed: 7,393 steps/s (136 fights/min) | Elapsed: 9.7s
Battles: 25/7800 | Vs: nigo     | Win Rate (Last 50):  16.0% | Speed: 7,538 steps/s (139 fights/min) | Elapsed: 10.7s
Battles: 28/7800 | Vs: x        | Win Rate (Last 50):  14.3% | Speed: 7,571 steps/s (140 fights/min) | Elapsed: 11.9s
Battles: 31/7800 | Vs: v3       | Win Rate (Last 50):  12.9% | Speed: 7,656 steps/s (142 fights/min) | Elapsed: 13.1s
Battles: 34/7800 | Vs: amazon   | Win Rate (Last 50):  11.8% | Speed: 7,771 steps/s (144 fights/min) | Elapsed: 14.2s
Battles: 37/7800 | Vs: riderman | Win Rate (Last 50):  10.8% | Speed: 7,850 steps/s (145 fights/min) | Elapsed: 15.2s
Battles: 40/7800 | Vs: nigo     | Win Rate (Last 50):  12.5% | Speed: 7,938 steps/s (146 fights/min) | Elapsed: 16.3s
Battles: 43/7800 | Vs: x        | Win Rate (Last 50):  11.6% | Speed: 7,952 steps/s (146 fights/min) | Elapsed: 17.6s
Battles: 46/7800 | Vs: v3       | Win Rate (Last 50):  10.9% | Speed: 7,899 steps/s (145 fights/min) | Elapsed: 18.9s
Battles: 49/7800 | Vs: amazon   | Win Rate (Last 50):  10.2% | Speed: 7,962 steps/s (147 fights/min) | Elapsed: 19.9s
Battles: 52/7800 | Vs: riderman | Win Rate (Last 50):  10.0% | Speed: 8,011 steps/s (148 fights/min) | Elapsed: 21.0s
Battles: 55/7800 | Vs: nigo     | Win Rate (Last 50):  10.0% | Speed: 8,055 steps/s (149 fights/min) | Elapsed: 22.1s
Battles: 58/7800 | Vs: x        | Win Rate (Last 50):  10.0% | Speed: 8,054 steps/s (149 fights/min) | Elapsed: 23.3s
Battles: 61/7800 | Vs: v3       | Win Rate (Last 50):  10.0% | Speed: 8,104 steps/s (149 fights/min) | Elapsed: 24.4s
Battles: 64/7800 | Vs: amazon   | Win Rate (Last 50):  10.0% | Speed: 8,136 steps/s (150 fights/min) | Elapsed: 25.5s
Battles: 67/7800 | Vs: riderman | Win Rate (Last 50):  10.0% | Speed: 8,172 steps/s (151 fights/min) | Elapsed: 26.5s
Battles: 70/7800 | Vs: nigo     | Win Rate (Last 50):   8.0% | Speed: 8,196 steps/s (152 fights/min) | Elapsed: 27.6s
Battles: 73/7800 | Vs: x        | Win Rate (Last 50):   8.0% | Speed: 8,150 steps/s (151 fights/min) | Elapsed: 29.0s
Battles: 76/7800 | Vs: v3       | Win Rate (Last 50):   8.0% | Speed: 8,183 steps/s (151 fights/min) | Elapsed: 30.0s
Battles: 79/7800 | Vs: amazon   | Win Rate (Last 50):   8.0% | Speed: 8,210 steps/s (152 fights/min) | Elapsed: 31.2s
Battles: 82/7800 | Vs: riderman | Win Rate (Last 50):  10.0% | Speed: 8,233 steps/s (152 fights/min) | Elapsed: 32.3s
Battles: 85/7800 | Vs: nigo     | Win Rate (Last 50):  12.0% | Speed: 8,237 steps/s (151 fights/min) | Elapsed: 33.6s
Battles: 88/7800 | Vs: x        | Win Rate (Last 50):  12.0% | Speed: 8,255 steps/s (152 fights/min) | Elapsed: 34.7s
Battles: 91/7800 | Vs: v3       | Win Rate (Last 50):  10.0% | Speed: 8,274 steps/s (152 fights/min) | Elapsed: 35.8s
Battles: 94/7800 | Vs: amazon   | Win Rate (Last 50):  12.0% | Speed: 8,291 steps/s (152 fights/min) | Elapsed: 36.9s
Battles: 97/7800 | Vs: riderman | Win Rate (Last 50):  12.0% | Speed: 8,307 steps/s (153 fights/min) | Elapsed: 38.0s
Battles: 100/7800 | Vs: nigo     | Win Rate (Last 50):  12.0% | Speed: 8,274 steps/s (152 fights/min) | Elapsed: 39.3s
Battles: 103/7800 | Vs: x        | Win Rate (Last 50):  12.0% | Speed: 8,291 steps/s (153 fights/min) | Elapsed: 40.3s
Battles: 107/7800 | Vs: riderman | Win Rate (Last 50):  12.0% | Speed: 8,310 steps/s (153 fights/min) | Elapsed: 41.7s
Battles: 110/7800 | Vs: nigo     | Win Rate (Last 50):  10.0% | Speed: 8,326 steps/s (153 fights/min) | Elapsed: 42.9s
Battles: 113/7800 | Vs: x        | Win Rate (Last 50):  10.0% | Speed: 8,333 steps/s (154 fights/min) | Elapsed: 44.0s
Battles: 116/7800 | Vs: v3       | Win Rate (Last 50):   8.0% | Speed: 8,335 steps/s (154 fights/min) | Elapsed: 45.1s
Battles: 119/7800 | Vs: amazon   | Win Rate (Last 50):  10.0% | Speed: 8,348 steps/s (154 fights/min) | Elapsed: 46.2s
